id,Weekly_Sales
1_6_2013-04-19,10340.463
1_6_2013-04-26,11597.289
1_6_2013-05-03,86819.875
1_6_2013-05-10,17686.676
1_6_2013-05-17,25660.262
1_6_2013-05-24,6262.217
1_6_2013-05-31,11211.438
1_6_2013-06-07,14560.502
1_6_2013-06-14,5731.832
1_6_2013-06-21,5626.257
1_6_2013-06-28,15374.864
1_6_2013-07-05,15041.729
1_6_2013-07-12,10541.167
1_6_2013-07-19,35490.36
1_6_2013-07-26,4777.7534
1_7_2012-11-02,45794.734
1_7_2012-11-09,7680.0894
1_7_2012-11-16,16749.99
1_7_2012-11-23,48755.383
1_7_2012-11-30,11691.205
1_7_2012-12-07,25566.416
1_7_2012-12-14,26568.389
1_7_2012-12-21,8866.596
1_7_2012-12-28,24656.861
1_7_2013-01-04,27966.203
1_7_2013-01-11,24366.777
1_7_2013-01-18,18034.12
1_7_2013-01-25,16229.345
1_7_2013-02-01,7932.0645
1_7_2013-02-08,37885.56
1_7_2013-02-15,29850.254
1_7_2013-02-22,29646.156
1_7_2013-03-01,14896.321
1_7_2013-03-08,11888.083
1_7_2013-03-15,8697.605
1_7_2013-03-22,21166.61
1_7_2013-03-29,38171.227
1_7_2013-04-05,9518.964
1_7_2013-04-12,11938.383
1_7_2013-04-19,10881.452
1_7_2013-04-26,5762.4917
1_7_2013-05-03,4294.318
1_7_2013-05-10,9547.724
1_7_2013-05-17,8164.439
1_7_2013-05-24,7098.1597
1_7_2013-05-31,10045.386
1_7_2013-06-07,10485.643
1_7_2013-06-14,29571.04
1_7_2013-06-21,6975.868
1_7_2013-06-28,5915.2134
1_7_2013-07-05,44479.85
1_7_2013-07-12,44993.18
1_7_2013-07-19,4898.8423
1_7_2013-07-26,9407.019
1_8_2012-11-02,7800.776
1_8_2012-11-09,19152.537
1_8_2012-11-16,2311.5405
1_8_2012-11-23,6676.6045
1_8_2012-11-30,3066.2344
1_8_2012-12-07,10578.129
1_8_2012-12-14,14427.248
1_8_2012-12-21,5893.1963
1_8_2012-12-28,3581.4824
1_8_2013-01-04,4108.47
1_8_2013-01-11,10364.025
1_8_2013-01-18,11620.852
1_8_2013-01-25,77652.875
1_8_2013-02-01,17710.24
1_8_2013-02-08,25683.826
1_8_2013-02-15,6285.7793
1_8_2013-02-22,11235.001
1_8_2013-03-01,14673.63
1_8_2013-03-08,5755.3945
1_8_2013-03-15,5649.8193
1_8_2013-03-22,15398.427
1_8_2013-03-29,15065.291
1_8_2013-04-05,10564.7295
1_8_2013-04-12,35513.92
1_8_2013-04-19,4801.316
1_8_2013-04-26,46678.66
1_8_2013-05-03,7703.652
1_8_2013-05-10,16697.72
1_8_2013-05-17,48552.875
1_8_2013-05-24,11625.643
1_8_2013-05-31,25763.004
1_8_2013-06-07,26170.902
1_8_2013-06-14,8801.033
1_8_2013-06-21,24618.57
1_8_2013-06-28,27900.643
1_8_2013-07-05,24301.217
1_8_2013-07-12,18003.29
1_8_2013-07-19,19462.09
1_8_2013-07-26,7866.5024
1_9_2012-11-02,37912.832
1_9_2012-11-09,30333.541
1_9_2012-11-16,32324.363
1_9_2012-11-23,14749.086
1_9_2012-11-30,11822.5205
1_9_2012-12-07,8632.042
1_9_2012-12-14,21101.049
1_9_2012-12-21,37320.184
1_9_2012-12-28,9453.401
1_9_2013-01-04,11872.82
1_9_2013-01-11,10815.89
1_9_2013-01-18,5696.9297
1_9_2013-01-25,4228.7554
1_9_2013-02-01,9482.161
1_9_2013-02-08,8098.877
1_9_2013-02-15,7032.5977
1_9_2013-02-22,9979.823
1_9_2013-03-01,10420.08
1_9_2013-03-08,29660.125
1_9_2013-03-15,6910.306
1_9_2013-03-22,5849.6514
1_9_2013-03-29,44414.28
1_9_2013-04-05,44927.61
1_9_2013-04-12,4833.2803
1_9_2013-04-19,9341.456
1_9_2013-04-26,7735.214
1_9_2013-05-03,19418.82
1_9_2013-05-10,9328.4375
1_9_2013-05-17,2245.9773
1_9_2013-05-24,6623.807
1_9_2013-05-31,3000.6711
1_9_2013-06-07,10512.566
1_9_2013-06-14,12901.446
1_9_2013-06-21,5827.635
1_9_2013-06-28,3515.9192
1_9_2013-07-05,4042.907
1_9_2013-07-12,10298.463
1_9_2013-07-19,11555.289
1_9_2013-07-26,77587.32
1_10_2012-11-02,18268.594
1_10_2012-11-09,25516.732
1_10_2012-11-16,6220.2173
1_10_2012-11-23,11177.504
1_10_2012-11-30,14689.604
1_10_2012-12-07,5689.8325
1_10_2012-12-14,5584.2573
1_10_2012-12-21,15332.864
1_10_2012-12-28,14999.729
1_10_2013-01-04,10508.637
1_10_2013-01-11,35448.35
1_10_2013-01-18,4735.754
1_10_2013-01-25,48480.332
1_10_2013-02-01,7638.09
1_10_2013-02-08,5231.879
1_10_2013-02-15,15945.133
1_10_2013-02-22,48713.35
1_10_2013-03-01,11623.499
1_10_2013-03-08,25733.723
1_10_2013-03-15,26131.244
1_10_2013-03-22,8759.688
1_10_2013-03-29,31528.62
1_10_2013-04-05,27859.293
1_10_2013-04-12,27593.451
1_10_2013-04-19,18079.523
1_10_2013-04-26,23323.545
1_10_2013-05-03,7825.1567
1_10_2013-05-10,37662.4
1_10_2013-05-17,29260.375
1_10_2013-05-24,45513.19
1_10_2013-05-31,14240.831
1_10_2013-06-07,11781.172
1_10_2013-06-14,8590.695
1_10_2013-06-21,20765.828
1_10_2013-06-28,41220.875
1_10_2013-07-05,9397.73
1_10_2013-07-12,11831.472
1_10_2013-07-19,9826.342
1_10_2013-07-26,5655.584
1_11_2012-11-02,4187.408
1_11_2012-11-09,9440.8125
1_11_2012-11-16,8057.5312
1_11_2012-11-23,6991.252
1_11_2012-11-30,9938.475
1_11_2012-12-07,10378.731
1_11_2012-12-14,31234.006
1_11_2012-12-21,6868.9604
1_11_2012-12-28,5791.997
1_11_2013-01-04,44820.145
1_11_2013-01-11,44798.477
1_11_2013-01-18,4791.9346
1_11_2013-01-25,9300.107
1_11_2013-02-01,7693.868
1_11_2013-02-08,20518.393
1_11_2013-02-15,2204.631
1_11_2013-02-22,6582.4614
1_11_2013-03-01,2959.3245
1_11_2013-03-08,10363.2
1_11_2013-03-15,10450.188
1_11_2013-03-22,5786.289
1_11_2013-03-29,3474.5725
1_11_2013-04-05,4001.5603
1_11_2013-04-12,10257.114
1_11_2013-04-19,12474.992
1_11_2013-04-26,81498.375
1_11_2013-05-03,18205.824
1_11_2013-05-10,25440.916
1_11_2013-05-17,5556.889
1_11_2013-05-24,11136.155
1_11_2013-05-31,14634.253
1_11_2013-06-07,5648.487
1_11_2013-06-14,5542.9116
1_11_2013-06-21,15291.516
1_11_2013-06-28,14928.221
1_11_2013-07-05,10511.987
1_11_2013-07-12,35392.69
1_11_2013-07-19,4694.408
1_11_2013-07-26,5071.9634
1_12_2012-11-02,52142.266
1_12_2012-11-09,7596.744
1_12_2012-11-16,5190.533
1_12_2012-11-23,16711.707
1_12_2012-11-30,48479.12
1_12_2012-12-07,11597.909
1_12_2012-12-14,25689.244
1_12_2012-12-21,26097.143
1_12_2012-12-28,8727.279
1_12_2013-01-04,29423.967
1_12_2013-01-11,27826.883
1_12_2013-01-18,25694.791
1_12_2013-01-25,17929.53
1_12_2013-02-01,20655.533
1_12_2013-02-08,7792.745
1_12_2013-02-15,37818.105
1_12_2013-02-22,29295.375
1_12_2013-03-01,31733.94
1_12_2013-03-08,14330.188
1_12_2013-03-15,11748.763
1_12_2013-03-22,8558.284
1_12_2013-03-29,20709.934
1_12_2013-04-05,40949.062
1_12_2013-04-12,9365.321
1_12_2013-04-19,11799.0625
1_12_2013-04-26,10742.132
1_12_2013-05-03,5623.1724
1_12_2013-05-10,4154.997
1_12_2013-05-17,9408.403
1_12_2013-05-24,8025.1196
1_12_2013-05-31,6958.8403
1_12_2013-06-07,9906.065
1_12_2013-06-14,10346.322
1_12_2013-06-21,29845.826
1_12_2013-06-28,6836.549
1_12_2013-07-05,5775.894
1_12_2013-07-12,44787.73
1_12_2013-07-19,44853.855
1_12_2013-07-26,4759.523
1_13_2012-11-02,9267.698
1_13_2012-11-09,7661.4565
1_13_2012-11-16,20485.986
1_13_2012-11-23,9254.68
1_13_2012-11-30,2172.2197
1_13_2012-12-07,6550.05
1_13_2012-12-14,2926.913
1_13_2012-12-21,10231.62
1_13_2012-12-28,9235.06
1_13_2013-01-04,5753.8774
1_13_2013-01-11,3442.1611
1_13_2013-01-18,3969.149
1_13_2013-01-25,10224.705
1_13_2013-02-01,12442.583
1_13_2013-02-08,81381.93
1_13_2013-02-15,18194.83
1_13_2013-02-22,25420.713
1_13_2013-03-01,5524.4775
1_13_2013-03-08,11103.746
1_13_2013-03-15,14615.846
1_13_2013-03-22,5616.075
1_13_2013-03-29,5510.5
1_13_2013-04-05,15259.106
1_13_2013-04-12,14925.971
1_13_2013-04-19,10300.153
1_13_2013-04-26,35527.414
1_13_2013-05-03,4661.9966
1_13_2013-05-10,50871.242
1_13_2013-05-17,7564.3325
1_13_2013-05-24,5158.1216
1_13_2013-05-31,16001.716
1_13_2013-06-07,48451.55
1_13_2013-06-14,11579.064
1_13_2013-06-21,25661.674
1_13_2013-06-28,26069.572
1_13_2013-07-05,8773.845
1_13_2013-07-12,29149.932
1_13_2013-07-19,27852.438
1_13_2013-07-26,25667.22
1_14_2012-11-02,17901.959
1_14_2012-11-09,20636.006
1_14_2012-11-16,7765.1777
1_14_2012-11-23,37675.723
1_14_2012-11-30,29267.805
1_14_2012-12-07,31496.28
1_14_2012-12-14,14302.621
1_14_2012-12-21,11721.195
1_14_2012-12-28,8530.717
1_14_2013-01-04,20719.852
1_14_2013-01-11,41154.32
1_14_2013-01-18,9337.754
1_14_2013-01-25,11771.495
1_14_2013-02-01,9946.547
1_14_2013-02-08,5595.605
1_14_2013-02-15,4127.43
1_14_2013-02-22,9380.836
1_14_2013-03-01,7997.5522
1_14_2013-03-08,6931.273
1_14_2013-03-15,9878.498
1_14_2013-03-22,10318.755
1_14_2013-03-29,29693.072
1_14_2013-04-05,6808.9814
1_14_2013-04-12,5748.3267
1_14_2013-04-19,44760.16
1_14_2013-04-26,44842.33
1_14_2013-05-03,4731.9556
1_14_2013-05-10,9240.131
1_14_2013-05-17,7633.889
1_14_2013-05-24,20458.416
1_14_2013-05-31,2144.653
1_14_2013-06-07,6522.4824
1_14_2013-06-14,2899.3462
1_14_2013-06-21,10298.393
1_14_2013-06-28,9115.324
1_14_2013-07-05,5726.31
1_14_2013-07-12,3414.5942
1_14_2013-07-19,3941.582
1_14_2013-07-26,10197.138
1_16_2012-11-02,12415.016
1_16_2012-11-09,81718.17
1_16_2012-11-16,18167.26
1_16_2012-11-23,25515.596
1_16_2012-11-30,5496.91
1_16_2012-12-07,11076.179
1_16_2012-12-14,14588.278
1_16_2012-12-21,5588.508
1_16_2012-12-28,5482.9326
1_16_2013-01-04,15231.539
1_16_2013-01-11,14916.134
1_16_2013-01-18,10407.312
1_16_2013-01-25,35439.203
1_16_2013-02-01,4634.429
1_16_2013-02-08,4355.992
1_16_2013-02-15,50744.168
1_16_2013-02-22,7536.765
1_16_2013-03-01,5130.554
1_16_2013-03-08,15841.842
1_16_2013-03-15,48608.484
1_16_2013-03-22,11567.084
1_16_2013-03-29,25622.44
1_16_2013-04-05,26045.89
1_16_2013-04-12,8648.405
1_16_2013-04-19,29125.047
1_16_2013-04-26,27768.404
1_16_2013-05-03,25615.914
1_16_2013-05-10,17968.24
1_16_2013-05-17,20754.69
1_16_2013-05-24,7713.8716
1_16_2013-05-31,37636.496
1_16_2013-06-07,29216.498
1_16_2013-06-14,30819.041
1_16_2013-06-21,14202.347
1_16_2013-06-28,11669.89
1_16_2013-07-05,8479.411
1_16_2013-07-12,20668.549
1_16_2013-07-19,41109.594
1_16_2013-07-26,9286.447
1_17_2012-11-02,11720.189
1_17_2012-11-09,9715.059
1_17_2012-11-16,5544.299
1_17_2012-11-23,4076.124
1_17_2012-11-30,9329.529
1_17_2012-12-07,7946.246
1_17_2012-12-14,6879.967
1_17_2012-12-21,9827.192
1_17_2012-12-28,10267.448
1_17_2013-01-04,29766.953
1_17_2013-01-11,6757.6753
1_17_2013-01-18,5697.0205
1_17_2013-01-25,44708.863
1_17_2013-02-01,44687.195
1_17_2013-02-08,4680.6494
1_17_2013-02-15,9188.825
1_17_2013-02-22,7582.583
1_17_2013-03-01,20407.11
1_17_2013-03-08,2093.3464
1_17_2013-03-15,6471.1763
1_17_2013-03-22,2848.04
1_17_2013-03-29,10177.156
1_17_2013-04-05,8241.318
1_17_2013-04-12,5675.004
1_17_2013-04-19,3363.288
1_17_2013-04-26,3890.276
1_17_2013-05-03,10145.831
1_17_2013-05-10,12363.71
1_17_2013-05-17,81666.86
1_17_2013-05-24,18128.03
1_17_2013-05-31,25348.406
1_17_2013-06-07,5445.604
1_17_2013-06-14,11024.873
1_17_2013-06-21,14536.972
1_17_2013-06-28,5537.2017
1_17_2013-07-05,5431.6265
1_17_2013-07-12,15180.232
1_17_2013-07-19,14847.097
1_17_2013-07-26,10356.006
1_18_2012-11-02,34924.02
1_18_2012-11-09,4583.123
1_18_2012-11-16,51828.633
1_18_2012-11-23,7485.459
1_18_2012-11-30,5079.248
1_18_2012-12-07,15351.857
1_18_2012-12-14,48206.246
1_18_2012-12-21,11742.452
1_18_2012-12-28,25363.348
1_18_2013-01-04,24268.611
1_18_2013-01-11,8246.165
1_18_2013-01-18,24962.463
1_18_2013-01-25,27366.168
1_18_2013-02-01,23834.787
1_18_2013-02-08,17566.008
1_18_2013-02-15,19277.27
1_18_2013-02-22,7311.634
1_18_2013-03-01,37255.23
1_18_2013-03-08,29778.672
1_18_2013-03-15,23265.135
1_18_2013-03-22,14110.983
1_18_2013-03-29,4634.934
1_18_2013-04-05,11267.651
1_18_2013-04-12,8077.1733
1_18_2013-04-19,20991.145
1_18_2013-04-26,37004.723
1_18_2013-05-03,8898.533
1_18_2013-05-10,11317.951
1_18_2013-05-17,9312.822
1_18_2013-05-24,5142.061
1_18_2013-06-07,3673.8865
1_18_2013-07-05,8927.293
1_19_2012-11-02,7544.0083
1_19_2012-11-09,6477.729
1_19_2012-11-16,9424.954
1_19_2012-11-23,9291.331
1_19_2012-11-30,28433.514
1_19_2012-12-07,6355.4375
1_19_2012-12-14,5294.7827
1_19_2012-12-21,45907.203
1_19_2012-12-28,44284.957
1_19_2013-01-04,4278.4116
1_19_2013-01-11,8786.587
1_19_2013-01-18,7180.345
1_19_2013-01-25,19070.266
1_19_2013-02-01,3478.679
1_19_2013-02-08,1691.108
1_19_2013-02-15,6656.5293
1_19_2013-02-22,2445.8018
1_19_2013-03-01,9651.943
1_19_2013-03-08,5638.975
1_19_2013-03-15,5272.766
1_19_2013-03-22,2961.0498
1_19_2013-03-29,3488.0376
1_19_2013-04-05,9743.595
1_19_2013-04-12,11961.472
1_19_2013-04-19,80071.625
1_19_2013-04-26,17763.424
1_19_2013-05-03,24967.143
1_19_2013-05-10,5043.366
1_19_2013-05-17,10622.635
1_19_2013-05-24,14134.735
1_19_2013-05-31,5134.964
1_19_2013-06-07,5029.3887
1_19_2013-06-14,14815.627
1_19_2013-06-21,13970.599
1_19_2013-06-28,9262.9375
1_19_2013-07-05,34357.125
1_19_2013-07-12,4180.8853
1_19_2013-07-19,3902.448
1_19_2013-07-26,50626.543
1_20_2012-11-02,7083.221
1_20_2012-11-09,4677.0103
1_20_2012-11-16,15486.702
1_20_2012-11-23,48316.785
1_20_2012-11-30,11446.762
1_20_2012-12-07,25528.049
1_20_2012-12-14,24349.531
1_20_2012-12-21,8453.012
1_20_2012-12-28,28314.525
1_20_2013-01-04,27547.963
1_20_2013-01-11,27728.95
1_20_2013-01-18,17772.854
1_20_2013-01-25,34945.867
1_20_2013-02-01,7518.4805
1_20_2013-02-08,37419.93
1_20_2013-02-15,29944.107
1_20_2013-02-22,30007.71
1_20_2013-03-01,13978.733
1_20_2013-03-08,5218.6357
1_20_2013-03-15,11474.501
1_20_2013-03-22,8284.021
1_20_2013-03-29,21016.596
1_20_2013-04-05,37211.566
1_20_2013-04-12,9105.382
1_20_2013-04-19,11396.752
1_20_2013-04-26,9519.671
1_20_2013-05-03,5469.6597
1_20_2013-05-10,3880.7344
1_20_2013-05-17,9134.142
1_20_2013-05-24,7750.8535
1_20_2013-05-31,6684.5757
1_20_2013-06-07,9631.804
1_20_2013-06-14,9498.181
1_20_2013-06-21,28640.36
1_20_2013-06-28,6562.284
1_20_2013-07-05,5501.6294
1_20_2013-07-12,46114.047
1_20_2013-07-19,44456.457
1_20_2013-07-26,4485.2583
1_21_2012-11-02,8993.437
1_21_2012-11-09,7387.192
1_21_2012-11-16,18990.797
1_21_2012-11-23,1880.6401
1_21_2012-11-30,6863.376
1_21_2012-12-07,2652.6501
1_21_2012-12-14,9961.331
1_21_2012-12-21,5845.822
1_21_2012-12-28,5479.6123
1_21_2013-01-04,3251.418
1_21_2013-01-11,3694.8867
1_21_2013-01-18,9950.443
1_21_2013-01-25,12168.321
1_21_2013-02-01,80278.48
1_21_2013-02-08,17906.652
1_21_2013-02-15,25173.988
1_21_2013-02-22,5277.1885
1_21_2013-03-01,10829.484
1_21_2013-03-08,14253.873
1_21_2013-03-15,5424.3496
1_21_2013-03-22,5236.2354
1_21_2013-03-29,15022.476
1_21_2013-04-05,14266.368
1_21_2013-04-12,9447.341
1_21_2013-04-19,35026.48
1_21_2013-04-26,4364.109
1_21_2013-05-03,4349.755
1_21_2013-05-10,53427.66
1_21_2013-05-17,7290.068
1_21_2013-05-24,5038.5923
1_21_2013-05-31,15272.491
1_21_2013-06-07,48126.875
1_21_2013-06-14,11993.461
1_21_2013-06-21,25283.982
1_21_2013-06-28,24189.248
1_21_2013-07-05,8166.7993
1_21_2013-07-12,23957.91
1_21_2013-07-19,27339.928
1_21_2013-07-26,23419.447
1_22_2012-11-02,17486.639
1_22_2012-11-09,20559.756
1_22_2012-11-16,7232.2666
1_22_2012-11-23,37175.86
1_22_2012-11-30,29699.303
1_22_2012-12-07,20553.438
1_22_2012-12-14,14065.884
1_22_2012-12-21,11188.285
1_22_2012-12-28,7997.807
1_22_2013-01-04,20997.408
1_22_2013-01-11,36925.35
1_22_2013-01-18,8819.167
1_22_2013-01-25,11238.585
1_22_2013-02-01,9233.456
1_22_2013-02-08,5062.694
1_22_2013-02-15,3594.5183
1_22_2013-02-22,8847.927
1_22_2013-03-01,7464.641
1_22_2013-03-08,6398.362
1_22_2013-03-15,9345.588
1_22_2013-03-22,9211.965
1_22_2013-03-29,28354.145
1_22_2013-04-05,6276.0703
1_22_2013-04-12,5215.4155
1_22_2013-04-19,45827.832
1_22_2013-04-26,44213.625
1_22_2013-05-03,4199.0444
1_22_2013-05-10,8707.221
1_22_2013-05-17,7100.978
1_22_2013-05-24,18784.582
1_22_2013-05-31,3399.3118
1_22_2013-06-07,1611.7421
1_22_2013-06-14,6577.162
1_22_2013-06-21,2366.4358
1_22_2013-06-28,9666.917
1_22_2013-07-05,5559.608
1_22_2013-07-12,5193.399
1_22_2013-07-19,2881.6838
1_22_2013-07-26,3408.6716
1_23_2012-11-02,9664.229
1_23_2012-11-09,11882.105
1_23_2012-11-16,79992.266
1_23_2012-11-23,17684.059
1_23_2012-11-30,25002.227
1_23_2012-12-07,4963.999
1_23_2012-12-14,10543.269
1_23_2012-12-21,14055.369
1_23_2012-12-28,5055.5967
1_23_2013-01-04,4950.0215
1_23_2013-01-11,14736.261
1_23_2013-01-18,13891.232
1_23_2013-01-25,9183.571
1_23_2013-02-01,34277.754
1_23_2013-02-08,4101.518
1_23_2013-02-15,3823.0808
1_23_2013-02-22,49537.492
1_23_2013-03-01,7003.854
1_23_2013-03-08,4597.643
1_23_2013-03-15,15235.258
1_23_2013-03-22,48643.59
1_23_2013-03-29,13135.265
1_23_2013-04-05,25221.791
1_23_2013-04-12,24127.057
1_23_2013-04-19,8178.743
1_23_2013-04-26,23722.406
1_23_2013-05-03,27277.736
1_23_2013-05-10,23357.26
1_23_2013-05-17,17424.451
1_23_2013-05-24,20497.564
1_23_2013-05-31,7170.0786
1_23_2013-06-07,37458.883
1_23_2013-06-14,29659.307
1_23_2013-06-21,20402.297
1_23_2013-06-28,14025.889
1_23_2013-07-05,11126.099
1_23_2013-07-12,7935.62
1_23_2013-07-19,20935.22
1_23_2013-07-26,36863.164
1_24_2012-11-02,8756.979
1_24_2012-11-09,11201.354
1_24_2012-11-16,9171.268
1_24_2012-11-23,5000.506
1_24_2012-11-30,3532.3335
1_24_2012-12-07,8785.738
1_24_2012-12-14,7402.453
1_24_2012-12-21,6336.174
1_24_2012-12-28,9283.401
1_24_2013-01-04,9149.778
1_24_2013-01-11,28166.773
1_24_2013-01-18,6213.8823
